Song,Title,Singer,About,일치여부
2 O' CLOCK,2 O’Clock in the Morning!,Edie Brickell,-,불일치
Click Like (Prod. Crush) (Feat. Paul Blanco),Click Like!,Crush (크러쉬),-,불일치
"INFJ (Feat. B.I, 방예담)",INFJ!,BIG Naughty (서동현),-,불일치
나 홀로 집에 (Home Alone),나 홀로 집에 (Home Alone),DAY6 (Even Of Day),-,일치
Melt Away,Melt Away,Mariah Carey,-,일치
Guilty,Guilty Conscience!,Eminem,"In this classic song, Eminem and Dr. Dre play the Evil and Good conscience respectively (wait, Dre is the good one?) of three separate people who are about to commit violent or sexual crimes. Dre wins the first battle whereas Eminem wins the second. In the third case, the two agree that the bad thing to do is actually the “morally right” thing to do.
In “Angry Blonde”, Eminem explains how he came up with the idea for this song:
Dre and I were in the gym one day, and we was talkin' about song concepts and shit. Dre said that we should do a song together called “Night ‘n’ Day”, where everything he was sayin', I was sayin' the complete opposite. So I thought about it, went home that same night, and wrote it.",불일치
하얀 거짓말 (White Lie),하얀 거짓말 (White Lie),NCT 127,-,일치
Somebody,Somebody That I Used To Know!,Gotye,"Having burned through the Australian charts late in 2011, Gotye’s sad tale of lost love continued to climb the charts on US soil in 2012 and 2013. The emotionally charged “Somebody That I Used To Know” details a mutually ended relationship in which one person feels a pain that the other refuses to feel.",불일치
소우주 (Mikrokosmos),BTS - 소우주 (Mikrokosmos) (English Translation)!,Genius English Translations,"“소우주 (Mikrokosmos)” is the 3rd song on BTS' 2019 album Map of the Soul: Persona. The melodic song marvels at the endlessness every human individual possesses.
The title Mikrokosmos references the ancient Greek philosophy of microcosm, the perception of viewing humans as their own little world or mikros kosmos. Humans are observed in relation to the universe, and, when the universe was first studied, kosmos translated closer to the modern ideal of order. In a broader sense, microcosm studies the harmonious relationship of each individual in parallel to everything else, which continues BTS' narrative of self discovery and persona.
The concept of “little universes” unique to each individual has been around since 2018, during the era of Love Yourself 結 ‘Answer.’",불일치
벌써 크리스마스,벌써 크리스마스 (Christmas Time)!,Starship Planet 2018,-,불일치
흠칫 (Hmm-cheat),흠칫 (Hmm-cheat),Crush (크러쉬),"“흠칫 (Hmm-cheat)” is the title track of Crush’s 3rd album wonderego. This song is a fun and upbeat track that focuses on enjoying the night and letting go of inhibitions.
The lyrics celebrate women and encourage them to indulge in the moment, have fun, and enjoy themselves without restraint. It’s a celebration of letting go and embracing the joy and excitement of the night.",일치
Fabulous,Fabulous,Sharpay & Ryan,In “Fabulous” Sharpay expresses her want for a summer full of luxury and relaxation while lounging by the poolside at Lava Springs. She sings with Ryan and the Sharpettes as backup.,일치
Rainy Days,Rainy Days,WESTSIDE BOOGIE,"“Rainy Days” is the first joint effort between Boogie and Eminem. On the track, they share their thoughts on their current positions and goals in hip-hop.",일치
다음 겨울에도 여기서 만나,"다음 겨울에도 여기서 만나 (Hello Antenna, Hello Christmas)!",Various Artists,-,불일치
아이(I) (Feat. DAWN),Oh my god (English Version)!,(G)I-DLE,"The title track in (G)I-DLE’s minialbum “I trust”. It was released on April 6, 2020. A fantasy-like mood and bold production are led by a vintage piano sound and strong 808 bass. MTV described it as a “dark, trap-infused song with lyrics that riff on contrasts — light and dark, purity and sin — to communicate the idea that true divinity comes from knowing and trusting yourself.”",불일치
For You (Feat. Crush),Die For You!,The Weeknd,"On “Die For You” The Weeknd croons about the conflicting feelings and pain that comes with letting go of someone he still has intense feelings for.
Many fans speculate the song was written about Abel’s then ex-girlfriend, supermodel Bella Hadid following rumors, that the two ended their relationship close to Starboy’s official release due to their conflicting work schedules. Additionally, Abel admitted to Zane Lowe in an interview that the song was finished a mere week before the album’s release, raising more suspicions that he’d written the song about a recent split.
On 11/25/2021, the fifth anniversary of Starboy, a music video was at last released for the track.
In February 2023, The Weeknd released a remix of the track featuring Ariana Grande, their first collaboration since their hit remix of Abel’s track Save Your Tears.",불일치
너는 나 나는 너,"ZICO (지코) - 너는 나 나는 너 (I Am You, You Are Me) (English Translation)!",Genius English Translations,"For his solo single “I Am You, You Are Me” the rapper showcases a different side of himself with the mid-tempo R&B track.
A bumpin' beat, subtle bass line and electronica flourishes back Zico’s smooth croons to highlight that the 23-year-old really has a soothing voice.
The plot of the music video is simple and sweet, where Zico finds himself continuously matching clothes with a teller behind a counter at a convience store. Soon, they realize it’s not a coincidence.
Throughout the track, he touches on the ways a couple connects at a young age, from physically to adolescent beliefs in tarot cards and horoscopes.",불일치
하품,SEVENTEEN - 하품 (Yawn) (English Translation)!,Genius English Translations,"“하품 (Yawn)” is a b-side track from SEVENTEEN’s eleventh mini album, SEVENTEENTH HEAVEN.
Released on the 23rd of October, 2023. The album came with a total of seven tracks. This b-side track is sung by the performance team of SEVENTEEN.
“하품 (Yawn)” gives off a soft melodly labelled as a ballad that came with heartwarming poetic lyrics. Producers WOOZI, created this song dedicated to one of his fellow members SEUNGKWAN, hoping that he could find comfort from this piece during his break, as SEUNGKWAN shared his feelings about it before the music video was released during an interview.
As SEUNGKWAN, earlier on this year lost a fellow good friend MOONBIN, producer WOOZI hoped that SEUNGKWAN could find his peace and comfort through this song, with the sounds of the soft melody and the emotions overfilliing the lyrics.",불일치
후디에 반바지,후디에 반바지 (HOODIE E BANBAJI)!,Lee Hyori (이효리),-,불일치
Good Night,goodnight n go!,Ariana Grande,"In the lead-up to Sweetener, Ariana teased “goodnight n go” through a snippet on her Instagram story and later posted the title on Twitter.
The song draws heavy inspiration from Imogen Heap’s “Goodnight and Go.”, appropriating it for Sweetener by modifying the production and some lyrics. Ariana has stated on Instagram that Imogen was one of her primary inspirations as an artist, and made her who she is today.",불일치
어떨것같애 (Feat. ZICO),어떨것같애 (and you)!,MEENOI (미노이),-,불일치
Kidz Zone,Kidz Zone,ZEROBASEONE,-,일치
7시에 들어줘 (Feat. Peder Elias),7시에 들어줘 (7PM)!,BSS (부석순),-,불일치
Daylight,Daylight,Taylor Swift,"In the final song on her album Lover, Taylor Swift sings about struggling through previous relationships, beginning to doubt her ability to find true love, until she meets someone who brightens her life in a new way.
She refers to being unlucky in love in the past, but when she meets her new partner, she only wants to focus on them and their happiness together.",일치
어떻게 지내,어떻게 지내 (Fall)!,Crush (크러쉬),-,불일치
무중력 (Space),무중력 (harmless)!,BOBBY,-,불일치
벌써일년,벌써 일년 (Already One Year)!,LIM KIM (림킴),-,불일치
"그때의 나, 그때의 우리","그때의 나, 그때의 우리 (When We Were Two)!",Urban Zakapa,-,불일치
별의 시 (Love is a beauty),별의 시 (Love Is A Beauty)!,NCT 127,-,불일치
Real Life,Real Life,The Weeknd,"The Weeknd begins his 2015 album, Beauty Behind the Madness, with advice from his own mother on how his life was going to destroy him over time.
In this intro, we find Abel opening up about mistakes and claiming them as such, rather than in the storytelling aspect he has utilized during his career.
The song’s pre-chorus is reminiscent of the bridge on Michael Jackson’s “Billie Jean”,
People always told me be careful of what you do And don’t go around breaking young girls' hearts And mother always told me be careful of who you love
And be careful of what you do cause the lie becomes the truth
Abel also mentions his relationship with his mother on the grandiose Echoes of Silence track “The Fall.”",일치
소나기 (Misty),소나기 (Downpour)!,I.O.I,"The final single from I.O.I, Downpour is a euphonic ballad produced by SEVENTEEN’s Woozi.
The song tells the year-long story of I.O.I, their hardships since their trainee days, the memories they have cherished, and the achievements they’ve reached as a project group. The 11 girls poured out their hearts to perform this song for the first and last time at their concert, ‘TIME SLIP’ which sold out a few moments after ticketing was open. Thanks to the fans, their achievements and the love and support they’ve received, I.O.I remains one of the greatest project groups in the history of K-pop.",불일치
Dreamer,I See a Dreamer!,CG5,"“I See a Dreamer” is a tribute to Minecraft speedrunner Dream. The title is a play on his name and the word “dreamer,” or a person with bold ideas. In the song’s case, the “bold ideas” are Dream’s popular speedrunning tactics from his YouTube series, Minecraft Manhunt. He uses them to trick the hunters, or people hunting down Dream in the hopes to kill him before he can defeat the Ender Dragon and win his round in the series.
Every illustration in the YouTube video is a different iconic moment from these manhunts, including jumping from a tower of blocks with frost walker boots (which is also depicted in the song’s cover art), and hopping across lava with wooden boats.",불일치
INVITATION (Feat. 개코),The Invitation!,Nick Cannon,"Nick Cannon and company released this track in response to Eminem’s verse on Fat Joe’s “Lord Above,” itself a response to statement Nick Cannon made in an interview where he stated he wanted to physically fight Eminem while Cannon was dating Mariah Carey. On “Lord Above,” Em raps:
I know me and Mariah didn’t end on a high note
But that other dude’s whipped, that pussy got him neutered
Tried to tell him this chick’s a nutjob ‘fore he got his jewels clipped
Almost got my caboose kicked
Fool, quit, you not gon’ do shit
I let her chop my balls off too ‘fore I lost to you, Nick
The title, “The Invitation,” is an actual invitation – Cannon is inviting Eminem to appear on his MTV show, Wild'N Out. The art for the track has large print with the song’s title, written over a picture of the Wild'N Out set. The art also includes the header which states:
EMINEM – You Are Cordially Invited By THE BLACK SQUAD
The two have had a contentious relationship since Nick Cannon and Mariah Carey got married in 2008. Allegedly, Eminem and Mariah Carey had a brief relationship in 2001 that did not end well, and, upon the marriage, brought Nick Cannon into the fray. Eminem dissed the couple in the song “Bagpipes from Baghdad,” which led to Carey’s response in “Obsessed,” which ultimately led to Eminem’s diss track in 2009, “The Warning.”",불일치
I remember,I Remember Everything!,Zach Bryan,"I Remember Everything is one of three colaborative tracks on Zach Bryan’s third album. Parts of the song were teased on both Twitter and Tiktok.
pic.twitter.com/nTjomE7A1I
— Zach Bryan (@zachlanebryan) June 14, 2023",불일치
Like We Just Met,Like We Just Met,NCT DREAM,-,일치
RIDE (Feat. THAMA),Ride!,twenty one pilots,"“Ride” is about the journey of life. Throughout the song, Tyler’s lyrics indicate he feels like dying is easy, but finding someone or something to live for is life’s challenge, or “ride.” The song contains heavy reggae influences.
The song also contains callbacks to various twenty one pilot songs, including “Heavydirtysoul,” “Lane Boy,” and “Ode To Sleep.”",불일치
Blue,Hello!,Adele,"Almost five years after her groundbreaking 21, Adele examines the past and tries to right her wrongs on “Hello.” On the surface, the song appears to be about a break-up from long ago, but the song can also be interpreted as Adele’s attempt at reconciliation with her former self. In a tweet, Adele called 21 a “break-up record” and 25 a “make-up record.”
Adele revealed the broad inspiration for the song:
No, it’s not about anyone specifically. It’s about friends, ex-boyfriends, it’s about myself, it’s about my family. It’s also about my fans as well.
A day before the release, Zane Lowe interviewed Adele about her future goals, touring, the album, and the “Hello” music video. Although “Hello” was released on October 23, 2015, a portion of the song was first featured during a commercial break on the UK’s X Factor on October 18, 2015.
The accompanying music video broke the Vevo record for the most views in 24 hours with 27.7 million total. Taylor Swift previously held the record with her video for “Bad Blood”, which had 20.1 million views in a single day. “Hello” was directed by Xavier Dolan and was the first music video to be shot by IMAX cameras.
In the US, “Hello” debuted at number 1 on the Hot 100, selling a whopping 1,112,000 downloads in its first week, almost doubling Flo Rida’s previous sales record (636,000 with “Right Round”.) The track significantly broke various streaming records after being replayed 61 million times in its first week.
In an interview with i-D, Adele contextualizes “Hello”:
The song is about hurting someone’s feelings but it’s also about trying to stay in touch with myself, which sometimes can be a little bit hard to do,“ she explains. ""It’s about a yearning for the other side of me. When I’m away, I really, really miss my life at home. The way that I feel when I’m not in England, is…” (she pauses) “desperation. I can’t breathe anywhere else.” Why? “I dunno. I’m so attached to my whole life here. I get worked up that I’m missing out on things. So ‘Hello’ is about wanting to be at home and wanting to reach out to everyone I’ve ever hurt – including myself – and apologize for it.",불일치
좋아 (JOAH),BTS - 좋아요 (I Like It) (English Translation)!,Genius English Translations,"“Like” (좋아요; also known as “I Like It”) is a song by BTS. It was released on June 12, 2013 and appears as the sixth track for their debut single album 2 Cool 4 Skool. A remixed version was released on February 12, 2014 and serves as the second track from the repackage of their second mini album Skool Luv Affair Special Addition.
This song has a Japanese version featured in their first Japanese single “No More Dream” and in their first Japanese studio album Wake Up.",불일치
For Us,All for Us!,Labrinth & Zendaya,"“All For Us—from the HBO Original Series Euphoria” is a remix of the original song written, produced and performed by Labrinth for his upcoming studio album. This version was introduced in Euphoria’s eighth episode and first season finale “And Salt the Earth Behind You,” with lead character Zendaya providing vocals.",불일치
Yesterday,Yesterday,The Beatles,"“Yesterday” is the most covered song in history, with over 2,000 versions having been recorded. A spare, haunting song of lost love from the early Beatles catalog, it was sung perfectly by a young Paul McCartney.
McCartney dreamed the entire melody before he arranged the music with George Martin. According to Rolling Stone:
‘It fell out of bed,’ Paul McCartney once said about the origins of ‘Yesterday.’ ‘I had a piano by my bedside, and I must have dreamed it, because I tumbled out of bed and put my hands on the piano keys and I had a tune in my head. It was just all there, a complete thing. I couldn’t believe it. It came too easy.’
The working lyrics Paul used to fit the tune before he wrote the actual words started with “Scrambled eggs / Oh my baby how I love your legs / Not as much as I love scrambled eggs.” Picking up on that famous trivia, Jimmy Fallon eventually developed the rest of “Scrambled eggs” and recorded it with Paul.",일치
Candy (Feat. Zion.T),Sunday Candy!,Donnie Trumpet & The Social Experiment,"The first single off The Social Experiment’s project Surf. Chance appears all over the track powered by vibrant live instrumentation – rapping and singing throughout what seems to be an ode to Chance’s grandmother and her lifestyle and personality.
For many black Americans, grandmothers are the staple matriarchs of the family, and the foundation of identities.
Artwork by Orlando Hays
(note: the candies in the bowl are life savers – not peppermints)
The music video was released April 12th 2015 (check the behind the scenes video here, and an overhead view of the action here):",불일치
Poison (모래성),Poison!,Bell Biv DeVoe,"In “Poison”, BBD’s debut single after their group New Edition went on hiatus, the boys are warning all dudes out there to be careful about the ho’s they spit game at. It became their first of two top 5 singles in a row in the US. It also charted well in the UK, New Zealand and The Netherlands.",불일치
먼지,먼지 (Dust)!,SEVENTEEN (세븐틴),-,불일치
N.Y.C.T,Nyctophobia: Quiproquo / Xenophobia: Un Parigot!,Gracy Hopkins,-,불일치
톡톡톡,톡!톡!톡! (Toc Toc Toc)!,Lee Hyori (이효리),-,불일치
Love Me Love Me,"きくお (Kikuo) - 愛して愛して愛して (Love Me, Love Me, Love Me) ft. 初音ミク (Hatsune Miku) (Romanized)!",Genius Romanizations,"“Aishite Aishite Aishite” is an original song written by Kikuo. This song is about a girl, with a case of Good Child Syndrome, who demands love and attention from other people as an effect of a cursed collar she wears. As she grows up, the collar’s effect on her becomes stronger, believing that the people whom she demands from are not enough.
Another interpretation is that it is about a girl who wants love from her parents. Her parents want her to do well in school and do not give her the love she so desires. The collar she wears is a metaphor, as it a symbol of her parents' expectations. As she grows up and her body changes, the collar stays the same size just as what her parents want out of her doesn’t change either.",불일치
"Can I Love ? (Feat. 유라(youra), Meego)","AKMU - 어떻게 이별까지 사랑하겠어, 널 사랑하는 거지 (How can I love the heartbreak, you’re the one I love) (English Translation)!",Genius English Translations,-,불일치
No Make Up,No Make-Up (Her Vice)!,Kendrick Lamar,"Kendrick doesn’t think girls need make-up to look sexy – just a brain…
The first of three songs dedicated to a prostitute named Keisha that Kendrick sympathizes with. Followed by Keisha’s Song and verse two of Sing About Me
The reliance on makeup shown also serves as a parallel to other substances that are constantly abused like alcohol and drugs. The makeup represents how people cover themselves up instead of facing the real world similarly to how people will will attempt to drink away their pain instead of facing things head on. Kendrick shows this through the bridge:
Ladies and gentlemen
And you ain’t gotta get drunk to have fun
You ain’t gotta get drunk to have fun
You ain’t gotta get drunk to have fun",불일치
MOVIE,RADWIMPS - なんでもないや (Nandemonaiya) (Movie Version) (Romanized)!,Genius Romanizations,-,불일치
제자리 걸음 (Starry Night),NCT DREAM - 제자리 걸음 (Starry Night) (English Translation)!,Genius English Translations,-,불일치
비도 오고 그래서,"비도 오고 그래서 (You, Clouds, Rain)!",HEIZE (헤이즈),-,불일치
개별로,개별로 (Fxxked Up)!,JEON SOMI,"“Fxxked Up (개별로)” is the third track from SOMI’s EP GAME PLAN. The song was planned to be part of SOMI’s debut album XOXO, but it was discarded to be released at another time to have all the spotlight and not be overshadowed by the other songs on the album.
The song was featured on Somi’s Youtube Series “I AM SOMI”.
Somi explained that she wrote the song about a call where this person was rude towards her and which she didn’t understand what this person was saying.
She said in an Instagram live that this is her favorite song that she has done and she want it to released it at the right time.
‘개별로’ was the second song that Somi has teased in her YouTube series, doing it first with “Watermelon”.",불일치
바다 가자,바다 가자 (TO THE SEA)!,ROZY (로지),-,불일치
저 별,저 별 (Star)!,HEIZE (헤이즈),-,불일치
목요일 밤 (Feat. 빈지노),목요일 밤 (Thursday Night)!,Urban Zakapa,-,불일치
April shower,SEVENTEEN - April shower (English Translation)!,Genius English Translations,-,불일치
Horizon,Linked Horizon - 紅蓮の弓矢 (Guren no Yumiya) (Romanized)!,Genius Romanizations,"“紅蓮の弓矢” (“Guren no Yumiya,” translated as “Crimson Bow and Arrow” and promoted as “Feuerroter Pfeil und Bogen”) is the second track on Linked Horizon’s second studio album, Shingeki no Kiseki, but was first included in his second single, Jiyuu e no Shingeki.
It was famously used as the first opening theme of the anime series Attack on Titan.",불일치
Impurities,LE SSERAFIM - Impurities (Romanized)!,Genius Romanizations,-,불일치
Oasis (Feat. ZICO),Wonderwall!,Oasis,"“Wonderwall” was released as the third single off of Oasis' classic album What’s The Story? (Morning Glory). It was supposedly written for Noel Gallagher’s then-girlfriend, Meg Matthews, as he told NME in 1996, “It’s about my girlfriend, Meg Matthews.” Bandmembers Bonehead and Guigsy seconded that in the documentary Live Forever, the Ups and Downs of Britpop. However, after Gallagher divorced Matthews in 2001 he said the song was not about Matthews: “[the song was] about an imaginary friend who’s gonna come and save you from yourself.” Some people believe it is about Noel talking himself (he is his own imaginary friend) out of leaving Oasis (or leaving life!). Others believe it is about the relationship between Noel and Liam and some say it is about his (then) imaginary friendship with Paul McCartney (they would later become friends in the mid-to-late 1990s).
The song’s title was appropriated from the 1968 film Wonderwall – from Psychedelia to Surrealism, which George Harrison provided the soundtrack (called Wonderwall Music) for. Before Noel had his “George Harrison revelation,” the song was titled “Wishing Stone.”
In 2006, it was included in the “Best Of”-compilation Stop The Clocks and in 2010 it was included in the singles collection Time Flies… 1994-2009.",불일치
No Makeup,No Make-Up (Her Vice)!,Kendrick Lamar,"Kendrick doesn’t think girls need make-up to look sexy – just a brain…
The first of three songs dedicated to a prostitute named Keisha that Kendrick sympathizes with. Followed by Keisha’s Song and verse two of Sing About Me
The reliance on makeup shown also serves as a parallel to other substances that are constantly abused like alcohol and drugs. The makeup represents how people cover themselves up instead of facing the real world similarly to how people will will attempt to drink away their pain instead of facing things head on. Kendrick shows this through the bridge:
Ladies and gentlemen
And you ain’t gotta get drunk to have fun
You ain’t gotta get drunk to have fun
You ain’t gotta get drunk to have fun",불일치
Welcome To MY World (Feat. nævis),Welcome To MY World!,aespa (에스파),"Welcome To MY World is the first pre-release track from aespa’s 3rd Mini Album MY WORLD SM Entertainment said this in their description for the song “Welcome To MY World is an alternative pop song that features dreamy guitar riffs, a grand orchestration in the second half of the song.” The song will feature the main character in aespa’s universe naevis.",불일치
슝! (feat. LISA of BLACKPINK),슝! (Shoong!)!,TAEYANG (태양),"Making it their first ever collaboration, here’s TAEYANG and BLACKPINK’s LISA on “Shoong!” The track is the second song on his April 2023 mini-album, Down To Earth.
“Shoong!” is a light hip-pop anthem about how they’ll run as fast as a car just to get back to their partner. The songs instrumental compliments the duos powerful vocals and raps.",불일치
Another Day,Another Day of Sun!,La La Land Cast,"“Another Day of Sun” is the first song in the film, composed by Justin Hurwitz and written by Benj Pasek and Justin Paul, sung by the entire La La Land cast.
The song is a choreographed party in broad daylight on the usually irritating, jammed LA highway – an extremely, amazing theatrical depiction of magic in the mundane.
The cast starts in their cars, in gridlocked L.A. traffic – and break into a choreographed troupe format dance.
The song’s featured singers tell personal “origin stories” that loosely foreshadow the plot of the movie, setting up the main characters' motivations as struggling performers also trying to make it in L.A.
The lyrics, too, foreshadow the entire movie, talking about inspirations and motivations for struggling actors and artists – with all their shimmering hopes and dreams – and the entire desperate nature of these desires.",불일치
Graduation,Graduation,benny blanco & Juice WRLD,"“Graduation” is Juice WRLD’s contemporary take on the early 2000’s pop anthem, “Graduation (Friends Forever)” by Vitamin C. It features a trap-style beat and revived lyrics with Juice WRLD interpolating the hit track.
The music video and song was released on August 30, 2019, after an Instagram story teasing the song.",일치
I Don't Understand But I Luv U,I Don’t Understand But I Luv U!,SEVENTEEN (세븐틴),-,불일치
장마,MAMAMOO - 장마 (Rainy Season) [English Translation]!,Genius English Translations,-,불일치
I'm Unhappy,I’m Unhappy!,aespa (에스파),"“I’m Unhappy” is the fifth track on aespa’s third mini-album, MY WORLD. The song is the second song to have its own track video after the release of, “Welcome to MY World.” Additionally, the song is one of the few future releases from the group that they performed in their SYNK : HYPER LINE fan meeting.
In “I’m Unhappy” aespa sing about their troubles living an unhappy life as they compare themselves to others that live happy lives, they then eventually put an end to this emotion. A catchy, and simplistic electronic pop plays throughout the song, giving off a gloomy attitude to the listener.
For the track video, each member portrays a different struggle that is the cause to their unhappiness. To be specific, NINGNING, is a cheerleader that struggles to keep up and be perfect, WINTER is bullied and ignored by others. Then, KARINA is stuck with a variety of troubles in an asylum while GISELLE fails to fit in and is considered an outcast.",불일치
Love Is Ugly (Feat. 화사),Love Is Ugly!,Jay Park (박재범),-,불일치
Lovey Dovey (Feat. meenoi),Lovey Dovey!,Nardo Wick,love song,불일치
Sunday Night Drive,Sunday Night Drive,Jay Park (박재범),-,일치
Number (Feat. BIG Naughty (서동현)),We Are Number One!,LazyTown,"This song is from the popular children’s show “Lazy Town.” In 2016 it became a meme along with the character Robbie Rotten and the show.
The song is about the main antagonist, Robbie Rotten, getting help from several lookalikes of himself to become more evil.
‘We are Number One"" grew quickly in the meme community, and a Go Fund Me for Stefan Karl Stefánsson’s Year of Healing was quickly noticed. Stefan has been diagnosed with pancreatic cancer, and due to financial burden, needs donations for treatment. The Go Fund Me has raised over 100k and Stefan has begun chemotherapy. The creation of this meme has helped Stefan more than ever imaginable. Unfortunately, he lost the battle against it, and he died on August 21, 2018.",불일치
Love War (Feat. BE‘O),Love & War!,Kodak Black,"“Love and War” by Kodak Black first surfaced as a one minute CDQ snippet that leaked on a SoundCloud post on December 6, 2019.
In November of 2021, the song would start to gain traction on TikTok because of the lyrics from the chorus, bringing in over 300,000 videos by the time of the release in late 2021.
The popular piano beat was produced by Pompano Puff and J Gramm, two producers who have both worked with Kodak previously. J-Gramm did not previously have his producer tag on the snippet version.
Kodak’s chorus was used on a Shorline Mafia track named “On the Low” in July 2020. Despite the use of the chorus, in December 2021, Kodak unexpectedly released the track using the same lyrics.",불일치
Kiss,Cocoa Butter Kisses!,Chance the Rapper,“Cocoa Butter Kisses” is about Chance turning into a man who repulses his mother. He misses the days when he still had his innocence and his mother used to give him sweet kisses.,불일치
후유증 (Can We Go Back),후유증 (Can We Go Back),NCT DOJAEJUNG,-,일치
Dive,Dive,Ed Sheeran,"In an interview with GQ magazine for its March cover, Ed let the writer listen to five songs before anyone else and described “Dive” as:
Sheeran openly admits that all the love songs on the album are about Seaborn, and “Dive” returns to the themes of vulnerability, a sense of devotion and emotional reflection, using the classic Fifties and early Sixties soul/Stax ballad arpeggio and time sequence.",일치
Strawberry Sunday,Strawberry Sunday,NCT DOJAEJUNG,-,일치
마치 (Feat. 키드밀리),오늘이 마치막인 것처럼 (Lasting like the last day)!,Kang Min Kyung (강민경),-,불일치
다시는 사랑한다 말하지 마 (Feat. RM of BTS),다시는 사랑한다 말하지 마 (Don’t ever say love me)!,Colde,-,불일치
Inspiration (feat. Beenzino),You’re the Inspiration!,Chicago,"Peter Cetera was originally contacted by producer David Foster who told him Kenny Rogers wanted Cetera to write a song for him. Foster and Cetera spent two hours coming up with the basic structure, then Cetera finished the lyrics over the next two weeks while in Italy. However, Rogers passed on the song, so Cetera brought it to his band Chicago.
The song was released as the third single from their album 17 and was a huge hit, reaching #3 in the US in early 1985 and was also a top 40 hit in the UK, Sweden, New Zealand and The Netherlands.",불일치
CIRCLE (Feat. Crush),Circle of Life!,Carmen Twillie & Lebo M,"Lebo M’s arresting and enthralling Zulu chant opens the movie and calls to the citizens of the Pride Lands to come to Pride Rock. As the sun rises, the animals of the Pride Lands awaken from their slumber and begin to journey across the landscape. The music gently swells behind Carmen Twillie’s vocals until, suddenly, Pride Rock comes into view and we hear the first chorus.
At Pride Rock, Rafiki the mandrill sangoma arrives and warmly greets Mufasa, the King of the Pride Lands. The two go to greet Sarabi, the Queen of the Pride Lands, who is cradling her tiny cub Simba between her paws. Rafiki blesses the leonine prince and the music becomes gentle and reverent. Blessing completed, Rafiki lifts the cub over his shoulder and carries him out onto the promontory of Pride Rock as the expectant animals wait below. As Rafiki lifts the cub high into the air to present him to his citizens, the music rises triumphantly again as the gathered animals rejoice at the sight of their new prince. The camera slowly zooms out, showing us the sheer size of the throng of animals, before a closing drumbeat takes us to the opening title card of the movie.
A “pop version” by Elton John is featured on the soundtrack and became a single.",불일치
불이 꺼지고,불이 꺼지고 (Lights Out)!,SUNMI & BE’O,-,불일치
"55 (Feat. 백예린, 웬디)",3:55 FREESTYLE!,GONE.Fludd,"8 апреля 2020 года в своём твиттер-аккаунте Фладда намекнул на новый трек:
Впервые трек был исполнен 11 апреля 2020 года на онлайн концерте «Маятник Фуко»:
27 апреля состоялась премьера трека и клипа!",불일치
Alone,Hate Sleeping Alone!,Drake,"Bonus Track (only on iTunes) off of Take Care.
Here, Drake details a complicated relationship that he’s staying in just because he hates sleeping alone.
This song also contains back-up vocals from Trey Songz.
Trivia: The production on this track samples Club Paradise, one of the tracks Drake used to build up to the release of Take Care.
https://youtu.be/EfGOqrXcm_Y",불일치
HoMe boy (Feat. 이하이),My Homeboy’s Chevy!,Andre Nickatina,-,불일치
Single,Pop Style (Single Version)!,Drake,"“Pop Style” is a Jamaican term meaning “ballin’” or “showing off.” The term was famously used on Althea and Donna’s “Uptown Top Ranking”, a Reggae one hit wonder which reached number 1 on the UK charts in 1978.
While Jay Z only shows up for two lines, Drake and Kanye drop numerous references to popular culture. Drake name checks Channing Tatum and Justin Timberlake, while Kanye drops the infamous “I’mma let you finish but…"" line from his 2009 VMA run in with Taylor Swift.
This is the first time Drake has collaborated with Kanye West and Jay Z as “The Throne,” and the first time all three rappers are featured on the same song. Drake previously collaborated with Kanye on “Find Your Love”, “Forever”, and “Blessings”, while he linked up with Jay Z for “Light Up,” “Off That,” and “Pound Cake / Paris Morton Music 2.” An alternate version of “Pop Style” without Kanye or Jay Z premiered on OVO Sound Radio on April 9th.
Although they released a collab album called Watch The Throne in 2011, this is Jay and Ye’s first time performing under the moniker “The Throne.”
The collaboration between Drake and The Throne may have been inspired by a line from “6PM in New York”:
Yeah, boy, you rappin' like you seen it all
You rappin' like the throne should be the three of y'all
“Pop Style” was one of two singles released on April 5, 2016, alongside “One Dance.”",불일치
"Page 1 (Feat. 백예린, pH-1)",Of Mice and Men: Chapter 5 (page 1)!,John Steinbeck,-,불일치
이불 (Feat. BIG Naughty),이불킥 (Blanket Kick/Embarrassed)!,BTS,"“이불킥 (Blanket Kick/Embarrassed)” is the 10th track on BTS' first studio album, Dark&Wild.",불일치
우리,CHEN (EXO) - 사월이 지나면 우리 헤어져요 (Beautiful Goodbye) (English Translation)!,Genius English Translations,-,불일치
손을 마주 잡고,손을 마주잡고 (With me)!,BIG Naughty (서동현),-,불일치
Marry Me (꽃길만 걷자),Marry Me!,Thomas Rhett,"“Marry Me” is the song by Thomas Rhett, which appears on his 2017 album, Life Changes. According to CountryFanCast, the song has been chosen as Rhett’s third single from the album, following the success of the first single, Craving You, and the second single, Unforgettable.
As a single, the song peaked at #1 on Billboard’s Country Airplay chart.",불일치
Tinnitus (돌멩이가 되고 싶어),Tinnitus (Wanna be a rock) (돌멩이가 되고 싶어)!,TOMORROW X TOGETHER,-,불일치
오래오래,오래오래 (FRR)!,george (죠지),-,불일치
"BAD BAD (Feat. Tabber, 박재범)",Bad Bad Bad!,Young Thug,"On “Bad Bad Bad,” Thug and Lil Baby team up for a track where they brag about all the luxurious brands they can afford to buy for women and themselves.",불일치
